event_id,year,division,place,competitor_type,player_token,action,matched_pbp_div
1001076203,2001,Double,1,team,Gobbish/Lionel Veluire(Thor le),PARTIAL_RESTORE,double
1001076315,2001,Pro Freestyle,1,team,Jere Vainikka/Kuopio,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Freestyle,2,team,Juha-Matti Rytilahti/Pelkosenniemi,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Freestyle,3,team,Ilkka Malin/Helsinki,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Freestyle,4,team,Mika Koistinen/Helsinki,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Freestyle,5,team,Jere Linnanen/Espoo,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Freestyle,6,team,Samuli Viitanen/Helsinki,PARTIAL_RESTORE,pro freestyle
1001076315,2001,Pro Singles Net,1,team,Tuomas Kärki/Helsinki,PARTIAL_RESTORE,pro singles net
1001076315,2001,Pro Singles Net,2,team,Jukka Peltola/Helsinki,PARTIAL_RESTORE,pro singles net
1001076315,2001,Pro Singles Net,3,team,Jani Markkanen/Helsinki,PARTIAL_RESTORE,pro singles net
1001076315,2001,Pro Singles Net,4,team,Janne Uusitalo/Pelkosenniemi,PARTIAL_RESTORE,pro singles net
1001076315,2001,Pro Singles Net,5,team,Matti Pohjola/Naantali,PARTIAL_RESTORE,pro singles net
1001076315,2001,Pro Singles Net,6,team,Aleksi Öhman/Helsinki,PARTIAL_RESTORE,pro singles net
1001076315,2001,Intermediate Singles Net,1,team,Tuukka Antikainen/Jyväskylä,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Singles Net,2,team,Kari Uusitalo/Pelkosenniemi,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Singles Net,3,team,Jari Linnonmaa/Helsinki,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Singles Net,4,team,Olli Lehtola/Saunavaara,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Singles Net,5,team,Tim Livson/Helsinki,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Singles Net,6,team,Jyri Ilama/Helsinki,PARTIAL_RESTORE,intermediate singles net
1001076315,2001,Intermediate Freestyle,1,team,Jaakko Inkinen/Hollola,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,2,team,Iisak Liukko/Jyväskylä,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,3,team,Teppo Harju/Jyväskylä,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,4,team,Sakarias Liukko/Vaajakoski,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,5,team,Mikko Poikonen/Keuruu,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,6,team,Tapio Karhunen/Turku,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,7,team,Pekka Raitio/Kerava,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,8,team,Henry Rautio/Halli,PARTIAL_RESTORE,intermediate freestyle
1001076315,2001,Intermediate Freestyle,9,team,Teemu Ahlfors/Kellokoski,PARTIAL_RESTORE,intermediate freestyle
1001942070,2001,30 Second Shred - Intermediate,3,player,Mike,PARTIAL_RESTORE,30 second shred intermediate
1011556608,2002,Open Freestyle,2,player,Dexter,PARTIAL_RESTORE,open freestyle
1012638214,2002,Open Singles Net,6,player,Chris (Mike) Ingle,PARTIAL_RESTORE,open singles net
1012638214,2002,Open Singles Net,7,player,Paul (PT) Lovern,PARTIAL_RESTORE,open singles net
1012638214,2002,Open Doubles Net,1,team,Paul (PT) Lovern/John Leys,PARTIAL_RESTORE,open doubles net
1012638214,2002,Open Doubles Net,10,team,Edwin Veltman/Chris (Mike) Ingle,PARTIAL_RESTORE,open doubles net
1013283071,2002,Women's Doubles Net,3,team,Geneviève Bousquet (Canada)/(),PARTIAL_RESTORE,women s doubles net
