alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Nina,Mader Nina,2,1,"2002,2003",2004,0,,"1025084282,1064849293",1079605499,8,"suffix_match,token_subset,rare_alias"
Jakob,Mai Jakob,2,1,"2004,2008",2004,0,,"1079444598,1195677906",1079605499,8,"suffix_match,token_subset,rare_alias"
Jakob,Wagner Jakob,2,1,"2004,2008",2004,0,,"1079444598,1195677906",1079605499,8,"suffix_match,token_subset,rare_alias"
Jean,Jean Galabrun,43,2,2000..2025 (16 yrs),"2019,2022",2,"1547720079,1647508742","1011291051,1039550946,1049457912,1131659634,1135116604","1547720079,1647508742",7,"prefix_match,token_subset,shared_events=2"
Abram,Abram Santana,1,3,2002,"2007,2008,2010",0,,1018812342,"1163784775,1194517448,1265745512",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bartsch,1,3,2025,"2010,2011,2014",0,,1739036206,"1260368810,1293877677,1391189882",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bernstein,1,4,2025,2008,0,,1739036206,1193783964,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bélanger,1,1,2025,2005,0,,1739036206,1107290435,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Davidson,1,1,2025,2008,0,,1739036206,1212769063,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Dworetzky,1,38,2025,2007..2017 (9 yrs),0,,1739036206,"1163784775,1193783964,1194517448,1265745512,1293877677",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Faber,1,7,2025,"2000,2001,2002,2003",0,,1739036206,"1016457376,1044624680,947026077,953918475,984694623",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Grammer,1,2,2025,2005,0,,1739036206,1125004188,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Heerman,1,2,2025,"2003,2006",0,,1739036206,"1044624680,1155788760",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Lopez,1,5,2025,2012,0,,1739036206,"1346947092,1346948712",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Michelewski,1,10,2025,1999..2013 (8 yrs),0,,1739036206,"1042821772,1070734498,1194517448,1235653935,1349043745",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Salgado,1,1,2025,2003,0,,1739036206,1049457912,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Segalowsky,1,1,2025,2003,0,,1739036206,1058877971,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Shocki,1,2,2025,"2003,2006",0,,1739036206,"1042821772,1135116604",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Smirnov,1,1,2025,2006,0,,1739036206,1137942486,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Spears,1,8,2025,"1998,1999,2002,2003,2004,2008",0,,1739036206,"1028218784,1058378281,1069929277,1216849705,876336655",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Starks,1,1,2025,1999,0,,1739036206,903632480,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Strassman,1,4,2025,"2004,2005,2007",0,,1739036206,"1069929277,1075781798,1102576153,1163784775",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Urano,1,1,2025,2006,0,,1739036206,1135116604,7,"prefix_match,token_subset,rare_alias,canon_more_common"
