event_id,year,event_type,event_name,mirror_found,mirror_has_results,mirror_h2_div_count,mirror_parsed_div_count,mirror_placement_lines,stage2_div_count,stage2_placement_count,pf_placement_count,status,notes
2001980001,1980,net,World Championships 1980 (NHSA),False,False,0,0,0,4,8,8,NO_MIRROR,mirror HTML not found
2001981001,1981,net,World Championships 1981 (NHSA),False,False,0,0,0,9,15,14,NO_MIRROR,mirror HTML not found
2001982001,1982,mixed,World Championships 1982 (NHSA),False,False,0,0,0,10,24,24,NO_MIRROR,mirror HTML not found
2001983001,1983,mixed,World Championships 1983 (NHSA),False,False,0,0,0,10,27,27,NO_MIRROR,mirror HTML not found
2001984001,1984,mixed,World Championships 1984,False,False,0,0,0,21,54,54,NO_MIRROR,mirror HTML not found
1043096425,1985,mixed,East Coast Championships - 3rd Annual - 1985,True,True,0,0,27,9,27,27,OK,
2001985001,1985,mixed,World Championships 1985,False,False,0,0,0,21,53,53,NO_MIRROR,mirror HTML not found
1057126024,1986,mixed,East Coast Footbag Championships - 4th Annual - 1986,True,True,0,0,33,11,33,32,OK,
1057175925,1990,mixed,East Coast Footbag Championships - 8th Annual - 1990,True,True,0,0,33,11,33,33,OK,
1057345914,1991,mixed,East Coast Footbag Championships - 1991 - 9th Annual,True,True,0,0,36,12,36,35,OK,
857852604,1997,freestyle,Southern California Footbag Championships,True,True,2,2,8,2,6,6,MODERATE_LOSS,
857874500,1997,mixed,University of Oregon Footbag Tournament,True,True,0,1,24,9,34,52,OK,unmatched_mirror_divs=[The Results]
857875120,1997,mixed,Western Regional Footbag Championships,True,True,3,3,10,15,43,42,OK,
857875468,1997,mixed,U.S. OPEN FOOTBAG NET CHAMPIONSHIPS,True,False,0,0,0,0,0,0,MIRROR_NO_RESULTS,
857876215,1997,net,State Games of Oregon Footbag Tournament,True,False,0,0,0,6,26,26,MIRROR_NO_RESULTS,
857876517,1997,worlds,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,True,False,0,0,0,21,84,84,MIRROR_NO_RESULTS,
857876870,1997,net,Eugene Celebration Footbag Tournament,True,True,0,0,26,2,25,25,OK,
857879540,1997,mixed,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,True,True,1,1,8,7,38,36,OK,
857880054,1997,net,Bedford (Australia) Indoor Footbag Championships,True,True,0,1,8,1,8,8,OK,unmatched_mirror_divs=[Results from the five minute timed consecutives were as follows]
857880964,1997,mixed,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,True,True,0,0,50,14,51,50,OK,
857881519,1997,net,11th Annual Vancouver Open (and Worlds Warm-Up),True,True,0,0,33,9,32,32,OK,
857881898,1997,mixed,Funtastik Summer Classic,True,False,0,0,0,10,37,38,MIRROR_NO_RESULTS,
859400929,1997,mixed,Montreal International Footbag Championships,True,True,0,5,29,9,29,28,OK,
859657310,1997,freestyle,New York Footbag EXPLOSION,True,True,0,2,11,3,11,11,OK,
859787898,1997,freestyle,HEART OF FOOTBAG Freestyle Tournament,True,True,0,1,37,8,37,37,OK,unmatched_mirror_divs=[EVENTS]
859913311,1997,net,Air-A-Zona State Footbag Championships,True,True,0,4,12,4,12,12,OK,
859923755,1997,mixed,California State Footbag Championships,True,True,0,4,35,6,39,22,OK,
860356126,1997,net,14th Annual Emerald City Open Footbag Championships,True,True,0,0,51,14,50,50,OK,
860944937,1997,mixed,1997 Mountain Dew's Kansas Footbag Open,True,False,0,0,0,2,2,0,MIRROR_NO_RESULTS,
865043841,1997,mixed,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,True,True,0,0,19,6,19,19,OK,
