event_id,division_raw,placement_raw,placement_num,player_raw,team_raw,score_raw,notes,source_file
005cf9782a,Open Sgls Net,1,1,John Stalberger,,,,UNKNOWN_p050.jpg
005cf9782a,Open Sgls Net,2,2,Walt Mason,,,,UNKNOWN_p050.jpg
005cf9782a,Open Sgls Net,3,3,Kenny Shults,,,,UNKNOWN_p050.jpg
005cf9782a,Open Dbls Net,1,1,,John Stalberger/Max Smith Jr.,,,UNKNOWN_p050.jpg
005cf9782a,Open Dbls Net,2,2,,Mag Hughes/Walt Mason,,,UNKNOWN_p050.jpg
005cf9782a,Open Dbls Net,3,3,,Gale Bigler/Dave Frazier,,,UNKNOWN_p050.jpg
005cf9782a,Women's Sgls Net,,,,,,Event Not Held,UNKNOWN_p050.jpg
005cf9782a,Women's Dbls Net,,,,,,Event Not Held,UNKNOWN_p050.jpg
005cf9782a,Open Sgls Consecutive,1,1,Kenny Shults,,,,UNKNOWN_p050.jpg
005cf9782a,Open Dbls Consecutive,1,1,,Kenny Shults/Mike Harding,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Sgls Net,1,1,John Stalberger,,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Sgls Net,2,2,Kenny Shults,,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Sgls Net,3,3,Dave Hill,,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Dbls Net,1,1,,Mag Hughes/Billy Hayne,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Dbls Net,2,2,,John Stalberger/Max Smith Jr.,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Dbls Net,3,3,,Kenny Shults/Walt Mason,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Women's Sgls Net,,,,,,Event Not Held,UNKNOWN_p050.jpg
2a8ad0dbe8,Women's Dbls Net,1,1,,Rita Buckley/Misty Helme,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Women's Dbls Net,2,2,?,,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Women's Dbls Net,3,3,,Lori Jean Conover/Jennifer Reese,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Sgls Consecutive,1,1,Gary Laut,,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Open Team Consecutive,1,1,,Gary Laut/Jim Caveney/Kalia Klaban,,,UNKNOWN_p050.jpg
2a8ad0dbe8,Women's Sgls Consecutive,1,1,Kalia Klaban,,,,UNKNOWN_p050.jpg
38240bb7ec,Open Sgls Net,1,1,Kenny Shults,,,,UNKNOWN_p050.jpg
38240bb7ec,Open Sgls Net,2,2,Billy Hayne,,,,UNKNOWN_p050.jpg
38240bb7ec,Open Sgls Net,3,3,Bruce Guettich,,,,UNKNOWN_p050.jpg
38240bb7ec,Open Dbls Net,1,1,,Mag Hughes/Billy Hayne,,,UNKNOWN_p050.jpg
38240bb7ec,Open Dbls Net,2,2,,Kenny Shults/Walt Mason,,,UNKNOWN_p050.jpg
38240bb7ec,Open Dbls Net,3,3,,Fred Kipley/Gary Preston,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Sgls Net,1,1,Cheryl Hughes,,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Sgls Net,2,2,Carolyn Ramondie,,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Sgls Net,3,3,Karen Gunther,,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Dbls Net,1,1,,Carolyn Ramondie/Lori Jean Tarr,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Dbls Net,2,2,,Rita Buckley/Alex Frazier,,,UNKNOWN_p050.jpg
38240bb7ec,Women's Dbls Net,3,3,,Karen Uppinghouse/Cheryl Hughes,,,UNKNOWN_p050.jpg
38240bb7ec,Mixed Dbls Net,1,1,,Mag Hughes/Alex Frazier,,,UNKNOWN_p050.jpg
38240bb7ec,Mixed Dbls Net,2,2,,Billy Hayne/Cheryl Hughes,,,UNKNOWN_p050.jpg
