event_id,division_raw,placement_raw,placement_num,player_raw,team_raw,score_raw,notes,source_file
10f8dadb52,Men's Overall,1,1,Steve Fennell,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Overall,1,1,Tricia George,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Net,1,1,Steve Fennell,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Net,2,2,Mag Hughes,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Net,3,3,Dave Robinson,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Net,1,1,,Dave Robinson/Steve Fennell,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Net,2,2,,Kenny Shults/Mike Harding,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Net,3,3,,Mag Hughes/Jim Fitzgerald,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Sgls Net,1,1,Tricia George,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Sgls Net,2,2,Jodi Sebastian,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Sgls Net,3,3,Nancy Reynolds,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Dbls Net,1,1,,Nancy Reynolds/Tricia George,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Dbls Net,2,2,,Constance Constable/Jodi Sebastian,,,FBW_V07_N01_p037.jpg
10f8dadb52,Women's Dbls Net,3,3,,Suzanne Beauchemin/Linda Burt,,,FBW_V07_N01_p037.jpg
10f8dadb52,Mixed Dbls Net,1,1,,Tricia George/Dave Robinson,,,FBW_V07_N01_p037.jpg
10f8dadb52,Mixed Dbls Net,2,2,,Nancy Reynolds/Mag Hughes,,,FBW_V07_N01_p037.jpg
10f8dadb52,Mixed Dbls Net,3,3,,Linda Burt/Kenny Shults,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Freestyle,1,1,Dennis Ross,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Freestyle,2,2,Brent Welch,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Freestyle,3,3,Jim Fitzgerald,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Team Freestyle,1,1,,Jim Fitzgerald/Jack Schoolcraft,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Team Freestyle,2,2,,Brent Welch/Bill Langbehn,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Team Freestyle,3,3,,Scott Cleere/Andy Linder,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Consecutive,1,1,Andy Linder,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Consecutive,2,2,Rick Reese,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Sgls Consecutive,3,3,Ted Martens,,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Consecutive,1,1,,Jack Schoolcraft/Pat Castle,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Consecutive,2,2,,Jon Lind/Dennis Ross,,,FBW_V07_N01_p037.jpg
10f8dadb52,Open Dbls Consecutive,3,3,,Chris Ott/Dave Robinson,,,FBW_V07_N01_p037.jpg
c2e36a3bea,Men's Overall,1,1,Steve Fennell,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Overall,1,1,Tricia George,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Sgls Net,1,1,Steve Fennell,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Sgls Net,2,2,Mag Hughes,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Sgls Net,3,3,Dave Robinson,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Dbls Net,1,1,,Dave Robinson/Steve Fennell,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Dbls Net,2,2,,Kenny Shults/Mike Harding,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Dbls Net,3,3,,Mag Hughes/Jim Fitzgerald,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Sgls Net,1,1,Tricia George,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Sgls Net,2,2,Jodi Sebastian,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Sgls Net,3,3,Nancy Reynolds,,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Dbls Net,1,1,,Nancy Reynolds/Tricia George,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Dbls Net,2,2,,Constance Constable/Jodi Sebastian,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Women's Dbls Net,3,3,,Suzanne Beauchemin/Linda Burt,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Mixed Dbls Net,1,1,,Tricia George/Dave Robinson,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Mixed Dbls Net,2,2,,Nancy Reynolds/Mag Hughes,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Mixed Dbls Net,3,3,,Linda Burt/Kenny Shults,,,FBW_V07_N02_p038.jpg
c2e36a3bea,Open Sgls Freestyle,1,1,Jim Fitzgerald,,,,FBW_V07_N02_p038.jpg
