canonical_event_id,division_raw,total_placements
76340820ba,Open Sgls Freestyle,3
76340820ba,Open Sgls Net,3
76340820ba,Open Team Freestyle,3
76340820ba,Women's Dbls Net,3
76340820ba,Women's Overall,1
76340820ba,Women's Sgls Net,3
76498d51d2,Doubles Net,3
76498d51d2,Intermediate Doubles Net,1
76498d51d2,Intermediate Singles Net,1
76498d51d2,Mixed Dbls Net,3
76498d51d2,Mixed Doubles Net,3
76498d51d2,Open Dbls Net,3
76498d51d2,Open Golf,3
76498d51d2,Open Sgls Consecutive,1
76498d51d2,Open Sgls Freestyle,3
76498d51d2,Open Sgls Net,3
76498d51d2,Open Team Freestyle,3
76498d51d2,Singles,3
76498d51d2,Singles Consecutive Kicks,3
76498d51d2,Singles Freestyle,3
76498d51d2,Singles Net,3
76498d51d2,Team,3
76498d51d2,Team Freestyle,3
76498d51d2,Women's Consecutive Kicks,3
76498d51d2,Women's Doubles Net,3
76498d51d2,Women's Singles Net,3
76ff377548,Open Doubles Net,1
76ff377548,Open Singles Net,2
77aa0f8390,Open Singles Net,1
7f20a87202,Open Singles Net,1
8396ba09ac,Open Singles,2
8667de3590,Men's Overall,1
8667de3590,Mixed Dbls Net,3
8667de3590,Open Dbls Consecutive,3
8667de3590,Open Dbls Net,3
8667de3590,Open Sgls Consecutive,3
8667de3590,Open Sgls Freestyle,3
8667de3590,Open Sgls Net,3
8667de3590,Open Team Freestyle,3
8667de3590,Women's Dbls Net,3
8667de3590,Women's Overall,1
8667de3590,Women's Sgls Net,3
88ab188635,Advanced Doubles Net,3
88ab188635,Advanced Singles Net,3
88ab188635,Doubles Consecutive Kicks,3
88ab188635,Doubles One-Pass Consecutive Kicks,3
88ab188635,Golf,3
88ab188635,Intermediate Doubles Net,1
88ab188635,Intermediate Singles Net,1
88ab188635,Men's Overall,3
88ab188635,Mixed Doubles Net,3
88ab188635,Open Freestyle,1
88ab188635,Open Singles Net,1
88ab188635,Singles Consecutive Kicks,3
88ab188635,Singles Freestyle,3
88ab188635,Team Freestyle,3
88ab188635,Ultra Doubles Net,3
88ab188635,Ultra Singles Net,3
88ab188635,Women's Doubles Consecutive Kicks,3
88ab188635,Women's Doubles Net,3
88ab188635,Women's Doubles One-Pass Consecutive Kicks,3
88ab188635,Women's Freestyle,3
88ab188635,Women's Golf,3
88ab188635,Women's Overall,3
88ab188635,Women's Singles Consecutive Kicks,3
88ab188635,Women's Singles Net,3
8667de3590,Open Freestyle,1
8667de3590,Open Singles Net,2
b9d35c4646,Open Singles Net,1
af9e865ed5,Open Singles,2
b4b6a194e2,Men's Overall,1
b4b6a194e2,Mixed Dbls Net,3
b4b6a194e2,Open Dbls Consecutive,3
b4b6a194e2,Open Dbls Net,3
b4b6a194e2,Open Sgls Consecutive,3
b4b6a194e2,Open Sgls Freestyle,3
b4b6a194e2,Open Sgls Net,3
b4b6a194e2,Open Team Freestyle,3
b4b6a194e2,Singles,3
b4b6a194e2,Team,3
b4b6a194e2,Women's Dbls Net,3
b4b6a194e2,Women's Overall,1
b4b6a194e2,Women's Sgls Net,3
b4b6a194e2,Women's Team Freestyle,2
b9540daaab,Doubles Net,3
b9540daaab,Intermediate Doubles Net,1
b9540daaab,Intermediate Singles Consecutive Kicks,1
b9540daaab,Intermediate Singles Net,1
b9540daaab,Singles Consecutive Kicks,1
b9540daaab,Singles Net,3
b9540daaab,Team Consecutive Kicks,1
b9540daaab,Women's Doubles Net,3
b9540daaab,Women's Singles Consecutive Kicks,1
b9d35c4646,Men's Overall,1
b9d35c4646,Mixed Dbls Net,3
b9d35c4646,Open Dbls Consecutive,3
b9d35c4646,Open Dbls Net,3
b9d35c4646,Open Sgls Consecutive,3
b9d35c4646,Open Sgls Freestyle,3
b9d35c4646,Open Sgls Net,3
b9d35c4646,Open Team Freestyle,3
b9d35c4646,Women's Dbls Net,3
b9d35c4646,Women's Overall,1
b9d35c4646,Women's Sgls Net,3
bb975bff1d,Doubles Consecutive Kicks,1
bb975bff1d,Doubles Net,3
bb975bff1d,Singles Consecutive Kicks,1
bb975bff1d,Singles Net,3
bc88796233,Open Dbls Net,3
bc88796233,Open Sgls Consecutive,1
bc88796233,Open Sgls Net,3
bc88796233,Open Team Consecutive,1
bc88796233,Women's Dbls Net,3
bc88796233,Women's Sgls Consecutive,1
bc88796233,Women's Sgls Net,1
d272be24f7,Men's Overall,1
d272be24f7,Mixed Dbls Net,3
d272be24f7,Open Dbls Consecutive,3
d272be24f7,Open Dbls Net,3
d272be24f7,Open Sgls Consecutive,3
d272be24f7,Open Sgls Freestyle,3
d272be24f7,Open Sgls Net,3
d272be24f7,Open Team Freestyle,3
d272be24f7,Women's Dbls Net,3
d272be24f7,Women's Overall,1
d272be24f7,Women's Sgls Net,3
b4b6a194e2,Open Freestyle,1
b4b6a194e2,Open Singles Net,1
e04899bee1,Men's Overall,1
e04899bee1,Mixed Dbls Net,3
e04899bee1,Open Dbls Consecutive,3
e04899bee1,Open Dbls Net,3
e04899bee1,Open Sgls Consecutive,3
e04899bee1,Open Sgls Freestyle,3
e04899bee1,Open Sgls Net,3
e04899bee1,Open Team Freestyle,3
e04899bee1,Women's Dbls Net,3
e04899bee1,Women's Overall,1
e04899bee1,Women's Sgls Net,3
e41e20722d,Open Doubles,1
e753e2a15c,Open Singles Net,1
f771c4ef26,Open Singles,1
